Name,Category,Address,Latitude,Longitude
CHELSEA BLUES HOTEL,Hotel,,-2.2767667,37.8153296
Diani Marine Divers Village,4-star hotel,,-4.3122353,39.5773735
"Al Mahali Villas, Diani Galu Beach, Kenya",Villa,,-4.3641176,39.5596131
Blue Marlin Hotel,4-star hotel,,-4.3502467,39.5632992
Mango villa,Villa,,-4.361092,39.5536553
Villa Kalista,3-star hotel,,-4.3943527,39.547747
Monkey Beach House,4-star hotel,,-4.3537412,39.5624584
Saffron Villas,Hotel,,-4.3135024,39.5759322
Msambweni Private Villa 1,4-star hotel,,-4.507856,39.469553
Kitu Kidogo House,Villa,,-4.3132438,39.5760078
Simba Oryx Beach Cottages,4-star hotel,,-4.3559113,39.5595083
The Cove Retreat,3-star hotel,,-4.4058192,39.5452767
Zana Villas,Villa,,-4.3252855,39.5645594
"Msitu Kwetu (Luxury Villa Estate, Diani Beach)",Villa,,-4.3215385,39.5714759
Funzi Cove Ecolodge,3-star hotel,,-4.569233,39.4372057
Shimba Lodge,3-star hotel,,-4.192497,39.4254849
LaSpaDiani,4-star hotel,,-4.3223241,39.5621214
Aestus Villas Resort,3-star hotel,,-4.3640667,39.5563055
Msambweni Private Villa II,Hotel,,-4.508541,39.469521
Lazy Days,Villa,,-4.3437555,39.5646202
African Huts,Resort hotel,,-4.3245041,39.5648913
Monkey Suites,Villa,,-4.3172033,39.5753582
Forest Dream Cottages (Resort),Cottage,,-4.334975,39.56158
Amani Luxury Apartments,4-star hotel,,-4.3409079,39.5599643
"Almond Ridge, Diani",Serviced accommodation,,-4.3880288,39.5423853
CS Gisimba Villas,4-star hotel,,-4.3594722,39.5581855
Sheba Cottages,Hotel,,-4.3751532,39.5463229
Munje Beach Villas,Serviced accommodation,,-4.5243071,39.4645868
Villa Soleil - Free Wi-Fi,Vacation home rental agency,,-4.3616779,39.5549516
Four Twenty South,4-star hotel,,-4.3424372,39.5659339
Kenyaways Beach Bed & Breakfast,3-star hotel,,-4.3508613,39.5635787
The Shore House Kenya,Villa,,-4.3480096,39.563503
Miftah Stores,Grocery store,"Bomani, Msambweni, Ukunda-Ramisi Rd",-4.4619731,39.4758872
Mpakani Maskani Shop,Grocery store,"Msambweni, Mwaembe, Ukunda-Ramisi Rd",-4.4771134,39.4824489
Chandarana Foodplus,Supermarket,Ukunda Diani Beach rd baharini Plaza,-4.3077406,39.5772739
Migingi Shop,Grocery store,"Msambweni, Mwaembe, Ukunda-Ramisi Rd",-4.4761745,39.4825357
Nguji Shop,Grocery store,"Bomani, Msambweni, Ukunda-Ramisi Rd",-4.4619244,39.476022
Shamsia Dairy & Grocery,Grocery store,"Next, Filling Station, Bomani, Msambweni, Bomani, Ukunda-Ramisi Rd",-4.4610031,39.4765416
Vijimambo,Grocery store,"Msambweni, Milalani, Ukunda-Ramisi Rd",-4.4747165,39.4604488
Mama Asha Shop,General store,"GFGM+MPR, Msambweni - Mwaembe Road, Msambweni, Sawa Sawa",-4.4732568,39.4842711
"Naivas Supermarket- Diani, Ukunda",Supermarket,"The Gate Mall, Ukunda-Ramisi Rd",-4.2807655,39.5661889
Msambweni Kisite General Shop,General store,"GFFJ+7X7, Msambweni - Mwaembe Road, Msambweni, Kisite",-4.4768419,39.4824139
Msambweni,Grocery store,JH2F+FQ2,-3.3988648,38.5744025
"Carrefour Market, Diani",Grocery store,"Centre Point Mall, Diani Beach Road",-4.2906226,39.5852151
Msambweni Stores,General store,"Next To Msambweni District Hospital, Msambweni Mwaemre Road, Msambweni, Ukunda-Ramisi Rd",-4.4796649,39.4808726
Msambweni Pasca Cooking Gas And Accessories kilishop,Gas shop,,-4.4628801,39.4742384
Msambweni Sea Foods,Seafood,"GFG6+935, At Milalani Shopping Centre, Off Ukunda - Ramisi Road, Msambweni",-4.4741179,39.4602426
Shree Green Grocers supermarket,Supermarket,Diani Beach Road,-4.3084945,39.576772
Obamas Shop,General store,"Stall 4, Msambweni Mwab, Msambweni",-4.4809409,39.4811114
Samrat Supermarket,Grocery store,,-4.2822732,39.5678901
MAMA SHANTEL SHOP,Shopping mall,GFPF+MG,-4.4632303,39.4738097
Mwananchi Shop,Food store,"GFCJ+49J, Next To Msambweni District Hospital, Off Msambweni Mwaemre Road, Msambweni",-4.4796567,39.4808882
Waterside Villa,Self-catering accommodation,"QJF4+6M3, Tiwi Beach, road",-4.2269895,39.6066565
Swahili House,4-star hotel,,-4.2380144,39.6028292
Alfajiri Villas,Cottage,,-4.286725,39.5895927
Villa Tiwi,Hotel,"QH3V+R7W, Off Ramisi Road",-4.2453888,39.5931879
Sand Island Beach Cottages,Cottage,Majengo Tiwi beach Tiwi,-4.2513978,39.5979758
Tiwi House,Holiday home,Ukunda-Ramisi Road kIBWAGA,-4.2384072,39.6026079
Tiwi Baobab House,Villa,"QJ32+CC6, Next to Bellezza Cottages, Tiwi Beach",-4.2459984,39.6015442
Ocean Villa,Housing complex,"QJF4+CW9, Road",-4.2264209,39.6072806
Kivulini Beach Villa & Cottages,Resort hotel,,-4.3030334,39.582382
HillPark Tiwi & Amare Resort,4-star hotel,,-4.224201,39.607094
Searenity Beach Villa,Villa,,-4.3025647,39.5829882
Bahari Dhow Beach Villas,3-star hotel,,-4.271643,39.5945764
The Villa Luxury Suites Hotel,4-star hotel,,-4.2872271,39.5847249
Villa Bea,Villa,Diani Beach Road,-4.2870502,39.5883195
Amani Tiwi Beach Resort,4-star hotel,,-4.2520029,39.5994529
Villa Mandhari Diani Beach,Resort hotel,,-4.3263698,39.5621082
"Msitu Kwetu (Luxury Villa Estate, Diani Beach)",Villa,,-4.3215385,39.5714759
V-Szameitat Homes (Diani South Coast-Kenya),Villa,,-4.3087014,39.5792684
"Al Mahali Villas, Diani Galu Beach, Kenya",Villa,,-4.3641176,39.5596131
Tahira Villa,Villa,,-4.3637722,39.5573176
Tichi Villa Diani Beach,Resort hotel,,-4.3645574,39.5567787
Wembley Villa Diani Beach,Villa,,-4.2662855,39.59343
Kusini Beach Cottages,Cottage,,-4.365951,39.558513
Muone Villas And Cottages,Hotel,"QH2X+5W4, Tiwi Beach, South Coast,",-4.2496229,39.599814
Tausi Holiday Villas,Lodge,,-4.2659195,39.5918978
Villa Sultanas Diani,Villa,,-4.303086,39.5740381
Oasis Diani Villas,5-star hotel,,-4.3199944,39.5690765
Golden Duranta Villas,Villa,,-4.2940341,39.5773277
Diani Paradise Villas,Villa,,-4.2946059,39.579947
Villa Verde,Villa,,-4.3202256,39.5665167
Sandarusi House,Holiday apartment rental,QJH5+2FP,-4.2433163,39.6014068
Amkia Villas Diani,Villa,,-4.3255995,39.563898
Almanara Luxury Villas,5-star hotel,,-4.3523521,39.562561
KIVULI VILLAS,Holiday home,"PALM PARK, 1 Diani Beach Road",-4.364041,39.5568548
Ammarville Luxury Villa & Apartments,Villa,Diani Beach Road,-4.2632657,39.5931432
Tiwani Cottages,4-star hotel,,-4.2408239,39.5974086
Villa Becky Diani,Villa,,-4.3070578,39.5755112
Msambweni Beach House and Private Villas,Hotel,,-4.5079856,39.4693597
milamax beach villa,Cottage rental,,-4.2719261,39.5967125
Villa Omara,Villa,PHQW+83G,-4.2616989,39.595202
ZUMARIDI LUXURY VILLAS,Villa,PH9H+H8W,-4.2804959,39.5788434
The Zubeida,4-star hotel,,-4.345478,39.5648187
Sand Island Beach Cottage,Hotel,,-4.2224133,39.608714
SUNSET VILLA,3-star hotel,,-4.3639092,39.5528144
Safina Cottages,3-star hotel,,-4.3083826,39.574437
Auregi villas,Vacation home rental agency,Kwitu Cottages Rd,-4.2710312,39.590459
Villa Tulivu,Homestay,Diani Beach Road,-4.3190146,39.5660541
Backdoor Villa,Villa,,-4.2651316,39.5935486
Hillpark Hotel Tiwi Beach,Hotel,,-4.2224698,39.6016809
Pendo Villas Diani,2-star hotel,,-4.299223,39.57338
Villa jahawi,Villa,Diani Beach Road,-4.2901976,39.5839872
"Tawi Villas, Diani",Holiday apartment rental,MHG8+CR,-4.323998,39.5668631
Miwa Diani beach Villa & Single Apartments,Villa,Diani Beach Road,-4.364372,39.5556545
Villa E'mocean,Villa,PHRV+6V3,-4.2594794,39.5946654
Villa SeaRender,Villa,Diani Beach Road,-4.267027,39.5953139
Zana Villas,Villa,,-4.3252855,39.5645594
Grace Villa,Hotel,,-4.261018,39.596384
Diani Beach Park Kite Villas,Villa,,-4.3732576,39.5546513
Kenya Charming Villas,Villa,,-4.2629574,39.5953307
Saffron Villas,Hotel,,-4.3135024,39.5759322
Diani Greenland villas,Cottage rental,,-4.2631333,39.5928901
Keringet Luxury Tent,Self-catering accommodation,1 Tiwi Beach Rd,-4.2263357,39.6066153
Maskani Villa,Villa,,-4.2843931,39.585129
Sea Breeze Villas Diani,Villa,,-4.2996516,39.5736726
Kitu Kidogo House,Villa,,-4.3132438,39.5760078
Waterlovers Beach Resort,4-star hotel,,-4.3080734,39.5806263
Villa Njoroge,Resort hotel,"PHHV+896, Diani, Beach Rd",-4.2717054,39.593398
Villa Milele,Villa,"Behind Diani Beach Shopping Centre, Diani Beach Road",-4.2966774,39.578139
Seaside Villa One Ltd.,Villa,,-4.3530995,39.5606294
Villa Shaanti,Hotel,,-4.2966014,39.5778284
African Pool Map Natural,Tourist attraction,,-4.234987,39.6054896
Maisha Marefu,Cabin rental agency,,-4.2647982,39.5950391
Baobahari Tiwi,Housing development,Plot 374,-4.2433,39.6025395
Diani Breeze Villas,3-star hotel,,-4.3092258,39.5763443
Maweni Villa,Villa,,-4.299864,39.5723333
Diani Cottages,Hotel,,-4.3086572,39.5778481
Haki Villas,Villa,,-4.3255334,39.5624964
Elewana AfroChic Diani Beach,4-star hotel,,-4.271843,39.597075
Cheka Villa,Villa,"PHPV+HVM, Diani Beach Road",-4.263537,39.594677
Monkey Suites,Villa,,-4.3172033,39.5753582
glory oceanvillas diani,Villa,,-4.3031269,39.5772573
Masai Paradise Cottages,Villa,,-4.3507901,39.5608516
"Casa Di Mia Luxury Villa, Beach Road",Villa,,-4.2633251,39.5946011
Eurika Villas Diani,Hotel,MHHC+H63,-4.3211183,39.5705359
Amani at Diani,Villa,,-4.3007539,39.5761107
Golf and Living,Resort hotel,,-4.2854215,39.5863669
Swahili Beach Resort,5-star hotel,,-4.292183,39.586675
Inshallah Kenya,Villa,MHJG+RH,-4.3178851,39.5764593
"Bella Seaview, 4x serviced apartments on Diani Beach, Kenya",Villa,Diani Beach Road,-4.2971361,39.5824229
Glaso Villas Diani,Villa,,-4.2989714,39.5732808
Villa Kapungu,Hotel,Diani Beach Road,-4.3212177,39.5713816
Jandi Diani,Villa,,-4.2957734,39.5807754
Ruffoni Villa,Hotel,MHWH+F9W,-4.3037739,39.5784516
Villa Lindenhof,Villa,Beach Road,-4.3142551,39.5684745
Watano beach house,Hotel,,-4.2994413,39.5843719
Panorama Grand Villa,Villa,PH2H+V4H,-4.297513,39.5778089
Kenda Villas,3-star hotel,,-4.2829404,39.5902516
Cave Diani Holiday Apartments,Villa,,-4.3033481,39.5707704
