Name,Category,Address,Latitude,Longitude
Retro Boutique Hotel,3-star hotel,,-4.2871218,39.5838349
Kongo river (shambani) bungalows,Cottage,,-4.259795,39.5947
Sand Island Beach Cottage,Hotel,,-4.2224133,39.608714
Golf and Living,Resort hotel,,-4.2854215,39.5863669
Kenya Charming Villas,Villa,,-4.2629574,39.5953307
Warandale Cottages,Cottage,,-4.2855467,39.5885696
Diani Beach Club,Bed & breakfast,,-4.3279487,39.5715614
Papatuo Villas Resort,4-star hotel,,-4.2797627,39.594696
Grace Villa,Hotel,,-4.261018,39.596384
Flametree Beach Homes,3-star hotel,,-4.2977695,39.5786766
"The Afters, Diani - Boutique Hotel",Hotel,,-4.2609641,39.5938994
Diani Paradise Villas,Villa,,-4.2946059,39.579947
Backdoor Villa,Villa,,-4.2651316,39.5935486
Twiga Lodge,4-star hotel,,-4.2404172,39.6026818
Alliance Jadini Beach Hotel,Hotel,,-4.2801206,39.5923101
Fiorella Beach House,Serviced accommodation,,-4.2965385,39.5833337
Zana Villas,Villa,,-4.3252855,39.5645594
Diplomat Diani Beach Resort,4-star hotel,,-4.296905,39.5805473
Frangipani Cottages,4-star hotel,,-4.3031267,39.5777195
Diani Beach Konya House,Hotel,,-4.3436073,39.5616705
Maisha Marefu,Cabin rental agency,,-4.2647982,39.5950391
Kirathimo Explorer's Oasis,Hotel,,-4.290887,39.588726
"Msitu Kwetu (Luxury Villa Estate, Diani Beach)",Villa,,-4.3215385,39.5714759
Lala Galu,Hotel,,-4.3636385,39.5589771
"Lantana Galu - Hotel in Diani, South Coast Kenya",4-star hotel,,-4.3640977,39.5577424
Galu Ecolodge - Diani Beach Kenya,Hotel,,-4.3696712,39.5560424
Neptune Village Beach Resort & Spa,4-star hotel,,-4.3625013,39.5604142
Galu Inn,3-star hotel,,-4.352838,39.5603751
Neptune Paradise Beach Resort & Spa,4-star hotel,,-4.361214,39.5606776
SUNSET VILLA,3-star hotel,,-4.3639092,39.5528144
Boxo Diani,4-star hotel,,-4.363113,39.5579518
Baobab Beach Resort & Spa,4-star hotel,,-4.3366306,39.56805
Eleven Pearl Boutique Hotel & Spa,4-star hotel,,-4.3416889,39.5662658
Nomad Beach Resort,5-star hotel,,-4.3279096,39.5716651
Soul Breeze Beach Resort,3-star hotel,,-4.3647999,39.5576134
Mzima Beach Diani,Hotel,,-4.3574818,39.5610443
Coco-De-Ville Beach Holiday Home,3-star hotel,,-4.3550739,39.5586483
Diani Beach Luxury Retreat With 5 Bedrooms,Extended stay hotel,,-4.3564154,39.5559025
Upani in Diani,4-star hotel,,-4.3635997,39.555716
Blue Water Villas,Homestay,,-4.3657436,39.5525123
Hibiscus Diani | Self Catering House & Apartments Kenya,3-star hotel,,-4.3496359,39.5586109
Marikeka Hotel,Hotel,,-4.3495683,39.5567091
Blessing holiday homes,Hotel,,-4.3637838,39.5571136
Marikeka Hotel,Hotel,,-4.3495683,39.5567091
Blessing holiday homes,Hotel,,-4.3637838,39.5571136
Allamanda Boutique Hostel,Hostel,,-4.3501091,39.5585913
Kijani Cottages,Lodge,,-4.3392761,39.5598505
Swahili Beach Resort,5-star hotel,,-4.292183,39.586675
QUEENS CHATEAU BOUTIQUE VILLA,3-star hotel,,-4.3624138,39.5571201
Waterlovers Beach Resort,4-star hotel,,-4.3080734,39.5806263
Diani Reef Beach Resort & Spa,5-star hotel,,-4.2792229,39.5944083
"Safari Beach Hotel, Diani",Hotel,,-4.3311551,39.5680296
Bora Bora Luxury Tented Camp,,,-4.354223,39.55995
Papillon Lagoon Reef,3-star hotel,,-4.3332646,39.5672755
Almanara Luxury Villas,5-star hotel,,-4.3523521,39.562561
Zuri Tulivu Resort & Restaurant,Bed & breakfast,,-4.3697676,39.5554915
Stilts Tree Houses,Hotel,,-4.3120961,39.5739288
Coral Beach Resort,Resort hotel,,-4.2891936,39.5897397
The Maji Beach Boutique Hotel,5-star hotel,,-4.2762412,39.5940109
Kenyaways Beach Bed & Breakfast,3-star hotel,,-4.3508613,39.5635787
Blue Marlin Hotel,4-star hotel,,-4.3502467,39.5632992
Neptune Palm Beach Boutique Resort & Spa,Hotel,,-4.3632709,39.5601838
The Zubeida,4-star hotel,,-4.345478,39.5648187
Galu Beach Retreat,3-star hotel,,-4.2991695,39.5814765
Monkey Beach House,4-star hotel,,-4.3537412,39.5624584
ZumZum Beachhouse,Resort hotel,,-4.3700296,39.5558188
Chale Island Resort,4-star hotel,,-4.4428343,39.5362363
Simba Oryx Beach Cottages,4-star hotel,,-4.3559113,39.5595083
"Al Mahali Villas, Diani Galu Beach, Kenya",Villa,,-4.3641176,39.5596131
